1,001,D,AMR,INDP AMR Medical - Emergency Management,Emergency Ops,Jackson County MO - Independence Emergency Management,1
2,002,D,Ind ACO-1,Animal Control (DB: IPD),Public Works,Jackson County MO -- Independence City Services/Public Works,1
3,003,E,IPD Center,IPD Center - In Progress Call (now fully encrypted),Law Dispatch,Jackson County MO - Independence Police,1
4,004,D,Ind EM C/W 1,INDP City Wide 1 - Emergency Management,Emergency Ops,Jackson County MO - Independence Emergency Management,1
5,005,D,Ind EM C/W 2,INDP City Wide 2 - Emergency Management,Emergency Ops,Jackson County MO - Independence Emergency Management,1
6,006,D,Ind EM C/W 3,INDP City Wide 3 - Emergency Management,Emergency Ops,Jackson County MO - Independence Emergency Management,1
7,007,D,Ind EM C/W 4,INDP City Wide 4 - Emergency Management,Emergency Ops,Jackson County MO - Independence Emergency Management,1
8,008,D,I P & L 2,Operations,Utilities,Jackson County MO --- Independence Power and Light Talkgroups,1
9,009,D,LCAP Fire,Lake City Ammo Fire: Operations,Fire-Tac,Jackson County MO --- Lake City Ammunition Plant,1
11,00b,D,CJC Fire Sim,Central Jackson Co Fire: Simulcast of TG 118 & 119,Fire Dispatch,Central Jackson County Fire / EMS Talkgroups,1
18,012,D,I P & L Disp,Dispatch - Simulcast of 451.050R,Utilities,Jackson County MO --- Independence Power and Light Talkgroups,1
19,013,D,Ind FG A2,Independence Fire: Fireground Ops 1 [A2],Fire-Tac,Jackson County MO - Independence Fire,1
20,014,D,Ind FG A3,Independence Fire: Fireground Ops 2 [A3[,Fire-Tac,Jackson County MO - Independence Fire,1
21,015,D,Ind FireDisp,Independence Fire: Dispatch,Fire Dispatch,Jackson County MO - Independence Fire,1
22,016,D,Ind Fire Evt,"Independence Fire: Special Events (IFD, IPD, AMR)",EMS Dispatch,Jackson County MO - Independence Fire,1
23,017,D,Ind ACO-2,Animal Control - Unit-to-Unit (not monitored by IPD),Public Works,Jackson County MO -- Independence City Services/Public Works,1
24,018,D,I P & L 3,Street Light Maintenance,Utilities,Jackson County MO --- Independence Power and Light Talkgroups,1
35,023,D,I P & L 4,Traffic Signal Repair,Utilities,Jackson County MO --- Independence Power and Light Talkgroups,1
36,024,E,IPD North,IPD North - Back In Use (now fully encrypted),Law Dispatch,Jackson County MO - Independence Police,1
39,027,E,IPD Tac-1,IPD Dispatch - Tactical 1 [IPD TAC 1],Law Tac,Jackson County MO - Independence Police,1
40,028,E,IPD Tac-2,IPD Dispatch - Tactical 2,Law Tac,Jackson County MO - Independence Police,1
41,029,E,IPD Tac 3,IPD Tactical 3 (Encrypted),Law Tac,Jackson County MO - Independence Police,1
49,031,D,Ind SnowPlow,Snow Plow Operations,Public Works,Jackson County MO -- Independence City Services/Public Works,1
53,035,D,Ind Water,Water Department,Public Works,Jackson County MO -- Independence City Services/Public Works,1
54,036,E,IPD South,IPD South Back In Use (now fully encrypted),Law Dispatch,Jackson County MO - Independence Police,1
57,039,D,IPD Test 57,IPD Ops Testing,Law Tac,Jackson County MO - Independence Police,1
64,040,D,IPD Test 64,IPD Ops Testing,Law Tac,Jackson County MO - Independence Police,1
68,044,D,IPD test 68,IPD testing,Law Tac,Jackson County MO - Independence Police,1
70,046,D,Ind WaterP/C,Water Pollution Control,Public Works,Jackson County MO -- Independence City Services/Public Works,1
71,047,D,Ind Fire Adm,Independence Fire: Admin,Fire-Tac,Jackson County MO - Independence Fire,1
